"","STUDY_ID","REVIEWERS","INCLUDE","Publication.Type","Authors","Book.Authors","Book.Editors","Book.Group.Authors","Author.Full.Names","Book.Author.Full.Names","Group.Authors","Article.Title","Source.Title","Book.Series.Title","Book.Series.Subtitle","Language","Document.Type","Conference.Title","Conference.Date","Conference.Location","Conference.Sponsor","Conference.Host","Author.Keywords","Keywords.Plus","Abstract","Addresses","Affiliations","Reprint.Addresses","Email.Addresses","Researcher.Ids","ORCIDs","Funding.Orgs","Funding.Name.Preferred","Funding.Text","Cited.References","Cited.Reference.Count","Times.Cited..WoS.Core","Times.Cited..All.Databases","X180.Day.Usage.Count","Since.2013.Usage.Count","Publisher","Publisher.City","Publisher.Address","ISSN","eISSN","ISBN","Journal.Abbreviation","Journal.ISO.Abbreviation","Publication.Date","Publication.Year","Volume","Issue","Part.Number","Supplement","Special.Issue","Meeting.Abstract","Start.Page","End.Page","Article.Number","DOI","DOI.Link","Book.DOI","Early.Access.Date","Number.of.Pages","WoS.Categories","Web.of.Science.Index","Research.Areas","IDS.Number","Pubmed.Id","Open.Access.Designations","Highly.Cited.Status","Hot.Paper.Status","Date.of.Export","UT..Unique.WOS.ID.","Web.of.Science.Record"
"532",722,"Kristen2","NO","J","Bressane, A; Loureiro, AIS; Medeiros, LCD; Negri, RG; Goulart, APG",NA,NA,NA,"Bressane, Adriano; Loureiro, Anna Isabel Silva; Medeiros, Liliam Cesar de Castro; Negri, Rogerio Galante; Goulart, Ana Paula Garcia",NA,NA,"Overcoming Barriers to Managing Urban Green Spaces in Metropolitan Areas: Prospects from a Case Study in an Emerging Economy","SUSTAINABILITY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Urban green spaces (UGS) are vital for the quality of life in cities. However, managing these spaces in metropolitan areas is increasingly challenging. There is a critical gap regarding the specific challenges and strategies employed by municipalities of varying sizes in emerging economies. Most existing research focuses on developed countries, leaving a void in understanding how these economies manage UGS under different constraints. This study delves into the challenges and strategies associated with managing UGS in the metropolitan region of S & atilde;o Paulo (MRSP), Brazil, comparing the experiences of the municipalities to provide empirical evidence that can inform policy making and urban planning practices in similar contexts. A structured questionnaire was distributed to environmental departments across 39 municipalities in MRSP. The survey included questions on population size, priority given to UGS, challenges faced and strategies adopted to overcome barriers. Chi-square tests were used to analyze the association between municipality size and the identified challenges and strategies. This study found that larger municipalities face significant barriers related to high population density and land use conflicts, which are less pronounced in smaller municipalities. However, strategies adopted to manage UGS were similar across all municipalities. Policy makers should focus on promoting vertical green spaces, expanding urban greening programs, and ensuring equitable resource allocation. Public-private partnerships and community involvement in planning processes are crucial for sustainable UGS management. Integrating UGS policies with broader urban development plans is essential for creating cohesive urban environments. Further research should conduct comparative studies across multiple metropolitan regions in different countries to provide a more comprehensive understanding of UGS management globally. This study integrates insights from urban ecology, landscape architecture, and public policy, emphasizing the interdisciplinary approach required for effective UGS management. The findings offer practical guidance for urban planners and landscape architects to design sustainable urban landscapes.",NA,NA,NA,NA,"de Castro Medeiros, Líliam/J-8593-2014; Bressane, Adriano/ADX-7825-2022; Negri, Rogerio/N-1329-2016","Negri, Rogerio/0000-0002-4808-2362; Silva Loureiro, Anna Isabel/0000-0002-7907-0903; Bressane, Adriano/0000-0002-4899-3983",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2071-1050",NA,NA,NA,"AUG",2024,16,"16",NA,NA,NA,NA,NA,NA,"7019","10.3390/su16167019","http://dx.doi.org/10.3390/su16167019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:001304985900001","View Full Record in Web of Science"
"533",725,"Kristen2","NO","J","Van Audenhaege, L; Matabos, M; Brind'Amour, A; Drugmand, J; Laës-Huon, A; Sarradin, PM; Sarrazin, J",NA,NA,NA,"Van Audenhaege, Loic; Matabos, Marjolaine; Brind'Amour, Anik; Drugmand, Jonathan; Laes-Huon, Agathe; Sarradin, Pierre-Marie; Sarrazin, Jozee",NA,NA,"Long-term monitoring reveals unprecedented stability of a vent mussel assemblage on the Mid-Atlantic Ridge","PROGRESS IN OCEANOGRAPHY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Understanding scales and drivers of ecological variability is essential to a full understanding of ecosystem functioning. At remote deep-sea hydrothermal vents, infra-annual dynamics remain poorly described. This study aims to characterise the factors that drive the dynamics of a vent faunal assemblage dominated by Bathymodiolus azoricus mussels from infra-daily to monthly time steps. We analysed a 7-year time series of images and environmental data collected at a depth of 1695 m at the base of the active Eiffel Tower edifice in the Lucky Strike vent field (Mid-Atlantic Ridge). Using images acquired by the TEMPO ecological module connected to the EMSO-Azores observatory, we assessed the dynamics of key species inhabiting the faunal assemblage in relation to changes in environmental conditions monitored daily. Our results show that habitat conditions were generally stable over the 7-year period, with small-scale variability related to tidal periodicity and local temperature anomalies. Likewise, the mussel and zoanthid assemblages exhibited remarkable stability. Changes in fluid exposure and substratum instability induced decimetrescale movements of the mussel assemblage. Microbial mats displayed infra-annual changes characterised by aperiodic growth and decline. Their development patterns could not be entirely attributed to environmental conditions, because other factors, including biotic interactions, appeared to be involved. The crab population preferentially occupied the mussel habitat, but no predation was observed. Scales of variation and driving factors were compared with those governing intertidal zones. The outcomes question the assumption that vent fauna experience extreme and highly variable conditions. On the MAR, mussel assemblages appear to experience relatively stable and mild environmental conditions compared with their coastal counterparts.",NA,NA,NA,NA,"Brind'Amour, Anik/B-3089-2008; Van Audenhaege, Loic/JOZ-0678-2023","Matabos, Marjolaine/0000-0003-1983-9896; Van Audenhaege, Loic/0000-0003-3973-029X; Laes, Agathe/0000-0001-5758-0956",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0079-6611","1873-4472",NA,NA,NA,"JUN",2022,204,NA,NA,NA,NA,NA,NA,NA,"102791","10.1016/j.pocean.2022.102791","http://dx.doi.org/10.1016/j.pocean.2022.102791",NA,"APR 2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000830148100002","View Full Record in Web of Science"
"534",726,"Kristen2","NO","J","Schultze-Nobre, L; Wiessner, A; Wang, DD; Bartsch, C; Kappelmeyer, U; Paschke, H; Mattusch, J; Kuschk, P",NA,NA,NA,"Schultze-Nobre, Luciana; Wiessner, Arndt; Wang, Dandan; Bartsch, Cindy; Kappelmeyer, Uwe; Paschke, Heidrun; Mattusch, Juergen; Kuschk, Peter",NA,NA,"Removal of dimethylphenols from an artificial wastewater in a laboratory-scale wetland system planted with Juncus effusus","ECOLOGICAL ENGINEERING",NA,NA,NA,NA,"5th International Symposium on Wetland Pollutant Dynamics and Control (WETPOL)","OCT 13-17, 2013","Nantes, FRANCE",NA,NA,NA,NA,"A laboratory-scale planted fixed bed reactor planted with the helophyte Juncus effusus was utilized for long-term experiments in the treatment of an artificial industrial wastewater using a mixture of 2,6-, 3,4-, and 3,5-dimethylphenol (DMP) in equimolar ratios (total DMPs of 20, 40 and 100 mg L (1)), and only adding the isomer 2,6-DMP. The permanent circulation flow of the process water in the reactor enabled the simulation of the rooted zone of a constructed wetland (CW). Removal performance of the DMP isomers varied, and was determined to be in the order of 3,4- > 3,5- > 2,6. A stepwise increase in the inflow concentration of the total DMPs from 20 to 100 mg L (1) caused a decrease in the removal of total DMPs by more than 90%, and ultimately led to nearly complete removal inhibition. The results showed that DMP removal performance was dependent on concentration and specific isomer. At a DMP inflow concentration of 100 mg L (1), methane appeared in the porewater with a concentration of approximately 1.5 mg L (1) using a DMP mixture and 0.7 mg L (1) by only 2,6-DMP addition. Whether the carbon source for methanogenesis come either from the rhizodeposition products or/and the DMPs, has yet to be discovered. These experimental results, and further studies with higher effluent complexity, will assist in developing new treatment strategies for industrial effluents from the petro-chemical and, in particular, the carbo-chemical industry using CWs. (C) 2014 Published by Elsevier B.V.",NA,NA,NA,NA,"wang, dan/JEF-0836-2023; Kappelmeyer, Uwe/H-4026-2015","Kappelmeyer, Uwe/0000-0001-7029-6407",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0925-8574","1872-6992",NA,NA,NA,"JUL",2015,80,NA,NA,NA,"SI",NA,"151","155",NA,"10.1016/j.ecoleng.2014.11.056","http://dx.doi.org/10.1016/j.ecoleng.2014.11.056",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000355131600017","View Full Record in Web of Science"
"535",729,"Kristen2","NO","J","Purahong, W; Stempfhuber, B; Lentendu, G; Francioli, D; Reitz, T; Buscot, F; Schloter, M; Krüger, D",NA,NA,NA,"Purahong, Witoon; Stempfhuber, Barbara; Lentendu, Guillaume; Francioli, Davide; Reitz, Thomas; Buscot, Francois; Schloter, Michael; Krueger, Dirk",NA,NA,"Influence of Commonly Used Primer Systems on Automated Ribosomal Intergenic Spacer Analysis of Bacterial Communities in Environmental Samples","PLOS ONE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Due to the high diversity of bacteria in many ecosystems, their slow generation times, specific but mostly unknown nutrient requirements and syntrophic interactions, isolation based approaches in microbial ecology mostly fail to describe microbial community structure. Thus, cultivation independent techniques, which rely on directly extracted nucleic acids from the environment, are a well-used alternative. For example, bacterial automated ribosomal intergenic spacer analysis (B-ARISA) is one of the widely used methods for fingerprinting bacterial communities after PCR-based amplification of selected regions of the operon coding for rRNA genes using community DNA. However, B-ARISA alone does not provide any taxonomic information and the results may be severely biased in relation to the primer set selection. Furthermore, amplified DNA stemming from mitochondrial or chloroplast templates might strongly bias the obtained fingerprints. In this study, we determined the applicability of three different B-ARISA primer sets to the study of bacterial communities. The results from in silico analysis harnessing publicly available sequence databases showed that all three primer sets tested are specific to bacteria but only two primers sets assure high bacterial taxa coverage (1406f/23Sr and ITSF/ITSReub). Considering the study of bacteria in a plant interface, the primer set ITSF/ITSReub was found to amplify (in silico) sequences of some important crop species such as Sorghum bicolor and Zea mays. Bacterial genera and plant species potentially amplified by different primer sets are given. These data were confirmed when DNA extracted from soil and plant samples were analyzed. The presented information could be useful when interpreting existing B-ARISA results and planning B-ARISA experiments, especially when plant DNA can be expected.",NA,NA,NA,NA,"Reitz, Thomas/AFP-6355-2022; Lentendu, Guillaume/ABF-4468-2020; Francioli, Davide/AAR-1035-2020; Schloter, Michael/H-9151-2013; Purahong, Witoon/AAX-8455-2021; BUSCOT, Francois/A-4125-2016; Kruger, Dirk/C-3316-2012","BUSCOT, Francois/0000-0002-2364-0006; Kruger, Dirk/0000-0002-7305-5104; Francioli, Davide/0000-0001-6572-3574; Lentendu, Guillaume/0000-0003-3826-6253",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1932-6203",NA,NA,NA,NA,"MAR 6",2015,10,"3",NA,NA,NA,NA,NA,NA,"e0118967","10.1371/journal.pone.0118967","http://dx.doi.org/10.1371/journal.pone.0118967",NA,NA,NA,NA,NA,NA,NA,25749323,NA,NA,NA,NA,"WOS:000350689400034","View Full Record in Web of Science"
"536",733,"Kristen2","NO","J","Schott, S; Valdebenito, B; Bustos, D; Gomez-Porras, JL; Sharma, T; Dreyer, I",NA,NA,NA,"Schott, Stephan; Valdebenito, Braulio; Bustos, Daniel; Gomez-Porras, Judith L.; Sharma, Tripti; Dreyer, Ingo",NA,NA,"Cooperation through Competition - Dynamics and Microeconomics of a Minimal Nutrient Trade System in Arbuscular Mycorrhizal Symbiosis","FRONTIERS IN PLANT SCIENCE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"In arbuscular mycorrhizal (AM) symbiosis, fungi and plants exchange nutrients (sugars and phosphate, for instance) for reciprocal benefit. Until now it is not clear how this nutrient exchange system works. Here, we used computational cell biology to simulate the dynamics of a network of proton pumps and proton-coupled transporters that are upregulated during AM formation. We show that this minimal network is sufficient to describe accurately and realistically the nutrient trade system. By applying basic principles of microeconomics, we link the biophysics of transmembrane nutrient transport with the ecology of organismic interactions and straightforwardly explain macroscopic scenarios of the relations between plant and AM fungus. This computational cell biology study allows drawing far reaching hypotheses about the mechanism and the regulation of nutrient exchange and proposes that the cooperation between plant and fungus can be in fact the result of a competition between both for the same resources in the tiny periarbuscular space. The minimal model presented here may serve as benchmark to evaluate in future the performance of more complex models of AM nutrient exchange. As a first step toward this goal, we included SWEET sugar transporters in the model and show that their co-occurrence with proton-coupled sugar transporters results in a futile carbon cycle at the plant plasma membrane proposing that two different pathways for the same substrate should not be active at the same time.",NA,NA,NA,NA,"Schott, Stephan/KHV-3205-2024; Bustos, Daniel/AAA-3766-2020; Sharma, Tripti/AAI-6278-2021; Dreyer, Ingo/N-4747-2014","Dreyer, Ingo/0000-0002-2781-0359; Schott-Verdugo, Stephan/0000-0003-0735-1404; Bustos, Daniel/0000-0002-2136-2305",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1664-462X",NA,NA,NA,NA,"JUN 27",2016,7,NA,NA,NA,NA,NA,NA,NA,"912","10.3389/fpls.2016.00912","http://dx.doi.org/10.3389/fpls.2016.00912",NA,NA,NA,NA,NA,NA,NA,27446142,NA,NA,NA,NA,"WOS:000378594400002","View Full Record in Web of Science"
"537",735,"Kristen2","NO","J","Razafindratsima, OH; Martinez, BT",NA,NA,NA,"Razafindratsima, Onja H.; Martinez, Barbara T.",NA,NA,"SEED DISPERSAL BY RED-RUFFED LEMURS: SEED SIZE, VIABILITY, AND BENEFICIAL EFFECT ON SEEDLING GROWTH","ECOTROPICA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Frugivorous vertebrates play a critical role as seed dispersers of many tropical fruiting plants. In Madagascar, lemurs are the principal dispersers of fruit-bearing plants. This study aims to highlight the potential ecological role of the red-ruffed lemur (Varecia rubra) in the regeneration of a degraded forest, based on the quantity and size of passed seeds, their viability and germination, and seedling growth. In Masoala National Park, V rubra groups were followed daily from dawn to dusk to collect fresh fecal samples containing seeds. We determined seed viability by immersion, and created an on-site nursery to compare the germination and growth of emerged seedlings from egested versus non-egested seeds. V rubra dispersed a diverse group of plant species with mainly large-sized seeds, which remained undamaged by gut passage. Defecated seeds were viable and had a higher germination success than control seeds. There was also increased growth among seedlings of defecated seeds, suggesting V rubra may play an important role in the regeneration of a degraded habitat through seed dispersal.",NA,NA,NA,NA,"Razafindratsima, Onja/I-7533-2019; Razafindratsima, Onja/D-8196-2011","Razafindratsima, Onja/0000-0003-1655-6647",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0949-3026",NA,NA,NA,NA,NA,2012,18,"1",NA,NA,NA,NA,"15","25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000306204100002","View Full Record in Web of Science"
"538",736,"Kristen2","NO","J","Hopkins, SR; Sokolow, SH; Buck, JC; De Leo, GA; Jones, IJ; Kwong, LH; LeBoa, C; Lund, AJ; MacDonald, AJ; Nova, N; Olson, SH; Peel, AJ; Wood, CL; Lafferty, KD",NA,NA,NA,"Hopkins, Skylar R.; Sokolow, Susanne H.; Buck, Julia C.; De Leo, Giulio A.; Jones, Isabel J.; Kwong, Laura H.; LeBoa, Christopher; Lund, Andrea J.; MacDonald, Andrew J.; Nova, Nicole; Olson, Sarah H.; Peel, Alison J.; Wood, Chelsea L.; Lafferty, Kevin D.",NA,NA,"How to identify win-win interventions that benefit human health and conservation","NATURE SUSTAINABILITY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Reaching the Sustainable Development Goals requires recognizing trade-offs and synergies among targets. Focusing on conservation and human health, this Perspective suggests how to productively distinguish win-wins from other outcomes. To reach the Sustainable Development Goals, we may need to act on synergies between some targets while mediating trade-offs between other targets. But what, exactly, are synergies and trade-offs, and how are they related to other outcomes, such as 'win-win' solutions? Finding limited guidance in the existing literature, we developed an operational method for distinguishing win-wins from eight other possible dual outcomes (lose-lose, lose-neutral and so on). Using examples related to human health and conservation, we illustrate how interdisciplinary problem-solvers can use this framework to assess relationships among targets and compare multi-target interventions that affect people and nature.",NA,NA,NA,NA,"LeBoa, Christopher/HKE-3832-2023; De Leo, Giulio/AAC-5098-2019; Lafferty, Kevin/B-3888-2009; Nova, Nicole/AAE-8030-2020; Peel, Alison/I-3202-2012","Nova, Nicole/0000-0001-8585-1215; Peel, Alison/0000-0003-3538-3550; Hopkins, Skylar/0000-0002-8381-0601; De Leo, Giulio/0000-0002-4186-3369; Jones, Isabel/0000-0002-5784-885X; Olson, Sarah/0000-0002-8484-9006; Buck, Julia/0000-0003-3202-7665; MacDonald, Andrew/0000-0003-0172-7749; LeBoa, Christopher/0000-0002-2128-9187",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2398-9629",NA,NA,NA,NA,"APR",2021,4,"4",NA,NA,NA,NA,"298","304",NA,"10.1038/s41893-020-00640-z","http://dx.doi.org/10.1038/s41893-020-00640-z",NA,"NOV 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000590316900003","View Full Record in Web of Science"
"539",739,"Kristen2","NO","J","Papageorgiou, D; Rozen-Rechels, D; Nyaguthii, B; Farine, DR",NA,NA,NA,"Papageorgiou, Danai; Rozen-Rechels, David; Nyaguthii, Brendah; Farine, Damien R.",NA,NA,"Seasonality impacts collective movements in a wild group-living bird","MOVEMENT ECOLOGY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Background A challenge faced by animals living in groups with stable long-term membership is to effectively coordinate their actions and maintain cohesion. However, as seasonal conditions alter the distribution of resources across a landscape, they can change the priority of group members and require groups to adapt and respond collectively across changing contexts. Little is known about how stable group-living animals collectively modify their movement behaviour in response to environment changes, such as those induced by seasonality. Further, it remains unclear how environment-induced changes in group-level movement behaviours might scale up to affect population-level properties, such as a population's footprint. Methods Here we studied the collective movement of each distinct social group in a population of vulturine guineafowl (Acryllium vulturinum), a largely terrestrial and non-territorial bird. We used high-resolution GPS tracking of group members over 22 months, combined with continuous time movement models, to capture how and where groups moved under varying conditions, driven by seasonality and drought. Results Groups used larger areas, travelled longer distances, and moved to new places more often during drier seasons, causing a three-fold increase in the area used at the population level when conditions turned to drought. By contrast, groups used smaller areas with more regular movements during wetter seasons. Conclusions The consistent changes in collective outcomes we observed in response to different environments raise questions about the role of collective behaviour in facilitating, or impeding, the capacity for individuals to respond to novel environmental conditions. As droughts will be occurring more often under climate change, some group living animals may have to respond to them by expressing dramatic shifts in their regular movement patterns. These shifts can have consequences on their ranging behaviours that can scale up to alter the footprints of animal populations.",NA,NA,NA,NA,"Farine, Damien/Y-2454-2019","Farine, Damien/0000-0003-2208-7613; Papageorgiou, Danai/0000-0001-5535-6133",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2051-3933",NA,NA,NA,NA,"JUL 8",2021,9,"1",NA,NA,NA,NA,NA,NA,"38","10.1186/s40462-021-00271-9","http://dx.doi.org/10.1186/s40462-021-00271-9",NA,NA,NA,NA,NA,NA,NA,34238382,NA,NA,NA,NA,"WOS:000671374200001","View Full Record in Web of Science"
"540",742,"Kristen2","NO","B","Didkowsky, N; Ungar, M",NA,"Kumar, U",NA,"Didkowsky, Nora; Ungar, Michael",NA,NA,"A social ecological approach to understanding resilience among rural youth","ROUTLEDGE INTERNATIONAL HANDBOOK OF PSYCHOSOCIAL RESILIENCE","Routledge International Handbooks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"978-1-315-66671-6; 978-1-138-95487-8",NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,"46","58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000404139800007","View Full Record in Web of Science"
"541",743,"Kristen2","NO","J","Alfieri, JM; Anderson, TK",NA,NA,NA,"Alfieri, James M.; Anderson, Tavis K.",NA,NA,"Life-cycle mediated effects of urbanization on parasite communities in the estuarine fish, Fundulus heteroclitus","PLOS ONE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"This study examined the relationship between urbanization and parasite community structure in the estuarine fish, Fundulus heteroclitus. We measured landscape and physicochemical factors associated with urbanization at 6 sites from 4 collection periods. Concurrently, we quantified the metazoan parasite community in F. heteroclitus collected at those sites, with 105 fish studied per site during the 4 collection periods. Parasite community composition differed among sites. Host size was the most important variable for direct life-cycle parasite assemblages and indirect life-cycle parasites at the individual fish level, while landscape and physicochemical factors determined the structure of indirect life-cycle parasite assemblages at the population scale. Variation in the prevalence and intensity of infection of two indirect life-cycle parasites, Lasiocotus minutus and Glossocercus caribaensis, were the primary parasites that drove differences across sites. Variation in the presence/absence of these indirect life-cycle parasite species was associated with sediment Ni concentrations, patch density, and marsh size. Our data support the hypothesis that urbanization, acting at both landscape and physicochemical scales, can have a significant impact on parasite community structure. This, however, varied by parasite life history: there was little effect of urbanization on the prevalence and intensity of direct life-cycle parasites, but significant variation was detected for indirect life-cycle parasites. This study demonstrates how anthropogenically driven landscape change influences fine-scale population dynamics of parasites.",NA,NA,NA,NA,NA,"Anderson, Tavis/0000-0002-3138-5535; Alfieri, James/0000-0003-2265-2539",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1932-6203",NA,NA,NA,NA,"DEC 2",2019,14,"12",NA,NA,NA,NA,NA,NA,"e0225896","10.1371/journal.pone.0225896","http://dx.doi.org/10.1371/journal.pone.0225896",NA,NA,NA,NA,NA,NA,NA,31790480,NA,NA,NA,NA,"WOS:000533930800079","View Full Record in Web of Science"
"542",744,"Kristen2","NO","J","Shin, S; van Riper, CJ; Pollock, HS; Hauber, ME",NA,NA,NA,"Shin, Seunguk; van Riper, Carena J.; Pollock, Henry S.; Hauber, Mark E.",NA,NA,"A bird in the hand: connecting children and wildlife through hands-on experiences with birds","HUMAN DIMENSIONS OF WILDLIFE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Human-wildlife interactions can strengthen environmental stewardship. Birds in particular harbor significant potential for environmental education and outreach to children. However, the benefits of interacting with birds for children remain unclear. To address this gap, we developed an avian education program by incorporating the ecological method of mist-netting into human dimensions research to understand how hands-on experiences with birds affected children. We used pre- and post-program surveys to examine the impacts of the program on bird knowledge, connection to birds, connection to nature, and environmental values among children (n = 21), aged 11-15 years, who participated in a nature camp in Illinois, U.S.A. We found positive effects of the program on children's psychological connection to birds and nature, whereas knowledge and values were not significantly influenced by participation. Our study is among the first to empirically demonstrate the effectiveness of mist-netting birds in fostering children's penchant for for wildlife conservation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1087-1209","1533-158X",NA,NA,NA,"2024 SEP 4",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10.1080/10871209.2024.2396399","http://dx.doi.org/10.1080/10871209.2024.2396399",NA,"SEP 2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:001302891500001","View Full Record in Web of Science"
"543",749,"Kristen2","NO","J","Kelso, MA; Wigginton, RD; Grosholz, ED",NA,NA,NA,"Kelso, Megan A.; Wigginton, Rachel D.; Grosholz, Edwin D.",NA,NA,"Nutrients mitigate the impacts of extreme drought on plant invasions","ECOLOGY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Extreme climate events, such as drought, are becoming increasingly important drivers of plant community change, yet little is known about their impacts on invasive plants. Further, drought impacts may be altered by other anthropogenic stressors, such as eutrophication. We found drought dramatically reduced density of invasive Lepidium latifolium in salt marshes, and this die-back was mitigated by nutrient addition. In a 3-yr field experiment (2014-2016) conducted during an unprecedented drought (2012-2015), we tracked the effects of drought and nutrient addition on the plant community. We conducted this research at four salt marshes across a salinity gradient in the San Francisco Bay, California, USA. We manipulated paired native and invaded plots, one-half of which were treated monthly with N and P for 1.5 yr during the most intense period of the drought and one subsequent wet winter. In addition, we monitored unmanipulated L. latifolium-invaded transects within our freshest and most saline sites throughout the three years of our manipulative experiment and one additional wet winter. We documented a dramatic die-back of invasive L. latifolium during extreme drought, with reductions in stem density (52-100%) and height (17-47%) that were more severe at low salinity sites than high salinity sites. We found nutrient application lessened the effect of drought on L. latifolium stem density, but not height. In native plots, extreme drought reduced native plant cover (4-24%), but nutrient addition mitigated this impact. Interestingly, native plants in invaded plots did not suffer reductions in cover due to drought, perhaps because they were simultaneously benefiting from the die-back of the invader. Our results show drought negatively impacted both native and invasive plants and this impact was stronger on the invader, which experienced persistent declines two years after the end of the drought. However, by mitigating the effect of drought on invasive plants, nutrient addition potentially erased the advantage drought provided native plants over invasive plants under ambient nutrient conditions.",NA,NA,NA,NA,NA,"Wigginton, Rachel/0000-0002-0098-8632; Kelso, Megan/0000-0002-2010-737X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0012-9658","1939-9170",NA,NA,NA,"APR",2020,101,"4",NA,NA,NA,NA,NA,NA,"e02980","10.1002/ecy.2980","http://dx.doi.org/10.1002/ecy.2980",NA,NA,NA,NA,NA,NA,NA,31960957,NA,NA,NA,NA,"WOS:000538111800001","View Full Record in Web of Science"
"544",754,"Kristen2","NO","J","Wong, CP; Jiang, B; Bohn, TJ; Lee, KN; Lettenmaier, DP; Ma, DC; Ouyang, ZY",NA,NA,NA,"Wong, Christina P.; Jiang, Bo; Bohn, Theodore J.; Lee, Kai N.; Lettenmaier, Dennis P.; Ma, Dongchun; Ouyang, Zhiyun",NA,NA,"Lake and wetland ecosystem services measuring water storage and local climate regulation","WATER RESOURCES RESEARCH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Developing interdisciplinary methods to measure ecosystem services is a scientific priority, however, progress remains slow in part because we lack ecological production functions (EPFs) to quantitatively link ecohydrological processes to human benefits. In this study, we tested a new approach, combining a process-based model with regression models, to create EPFs to evaluate water storage and local climate regulation from a green infrastructure project on the Yongding River in Beijing, China. Seven artificial lakes and wetlands were established to improve local water storage and human comfort; evapotranspiration (ET) regulates both services. Managers want to minimize the trade-off between water losses and cooling to sustain water supplies while lowering the heat index (HI) to improve human comfort. We selected human benefit indicators using water storage targets and Beijing's HI, and the Variable Infiltration Capacity model to determine the change in ET from the new ecosystems. We created EPFs to quantify the ecosystem services as marginal values [Delta final ecosystem service/Delta ecohydrological process]: (1) Delta water loss (lake evaporation/volume)/Delta depth and (2) Delta summer HI/Delta ET. We estimate the new ecosystems increased local ET by 0.7 mm/d (20.3 W/m(2)) on the Yongding River. However, ET rates are causing water storage shortfalls while producing no improvements in human comfort. The shallow lakes/wetlands are vulnerable to drying when inflow rates fluctuate, low depths lead to higher evaporative losses, causing water storage shortfalls with minimal cooling effects. We recommend managers make the lakes deeper to increase water storage, and plant shade trees to improve human comfort in the parks.",NA,NA,NA,NA,"lettenmaier, dennis/T-3088-2017; Bohn, Theodore/K-4494-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0043-1397","1944-7973",NA,NA,NA,"APR",2017,53,"4",NA,NA,NA,NA,"3197","3223",NA,"10.1002/2016WR019445","http://dx.doi.org/10.1002/2016WR019445",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000403682600038","View Full Record in Web of Science"
